locus_tag,length,genes,EC,product [prokka],KO,product [KEGG],annotation [KEGG GENES ]
RHAL1_00797,924,araA,1.1.1.376,L-arabinose 1-dehydrogenase (NAD(P)(+)),K00035,D-galactose 1-dehydrogenase [EC:1.1.1.48],K00035 D-galactose 1-dehydrogenase [EC:1.1.1.48] 
RHAL1_00798,984, , ,hypothetical protein,,,no KO assigned 
RHAL1_00799,1440, , ,Porin,K07267,porin,K07267 porin 
RHAL1_00800,1068,chvE, ,Multiple sugar-binding periplasmic receptor ChvE,K10546,putative multiple sugar transport system substrate-binding protein,K10546 putative multiple sugar transport system substrate-binding protein 
RHAL1_00801,1536,xylG, ,fused D-xylose transporter subunits of ABC superfamily: ATP-binding components,K10548,putative multiple sugar transport system ATP-binding protein [EC:3.6.3.17],K10548 putative multiple sugar transport system ATP-binding protein [EC:7.5.2.-] 
RHAL1_00802,1218,xylH, ,D-xylose transporter subunit ; membrane component of ABC superfamily protein,K10547,putative multiple sugar transport system permease protein,K10547 putative multiple sugar transport system permease protein 
RHAL1_00803,2286, , ,Xanthine dehydrogenase,K11177,xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4],K11177 xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4] 
RHAL1_00804,1020,yagS_1, ,putative oxidoreductase with FAD-binding domain protein,K11178,xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4],K11178 xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4] 
RHAL1_00805,615,yagT, ,"putative oxidoreductase, 2Fe-2S subunit",K03518|K13483 ,aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]|xanthine dehydrogenase YagT iron-sulfur-binding subunit ,K13483 xanthine dehydrogenase YagT iron-sulfur-binding subunit 
RHAL1_00806,684, , ,hypothetical protein,,,no KO assigned 
RHAL1_00807,195, , ,Cytochrome B561 (fragment),,,no KO assigned 
RHAL1_00808,243, , ,protein of unknown function,,,no KO assigned 
RHAL1_00809,987, , ,Permease of the major facilitator superfamily protein (fragment),,,no KO assigned 
RHAL1_00810,1113, , ,Major facilitator transporter,K05820,"MFS transporter, PPP family, 3-phenylpropionic acid transporter","K05820 MFS transporter, PPP family, 3-phenylpropionic acid transporter "
RHAL1_00811,8424, , ,hypothetical protein,,,K20276 large repetitive protein 
RHAL1_00812,1254, , ,putative VCBS repeat-containing protein,,,no KO assigned 
RHAL1_00813,867, , ,Porin family protein,K16079,outer membrane immunogenic protein,K16079 outer membrane immunogenic protein 
RHAL1_00814,1332,prsD_2, ,Type I secretion system ATP-binding protein PrsD,,,no KO assigned 
RHAL1_00815,1335,prsE_2, ,Type I secretion system membrane fusion protein PrsE,K02022,HlyD family secretion protein,"K12537 membrane fusion protein, type I secretion system "
RHAL1_00816,1230, , ,protein of unknown function,,,no KO assigned 
RHAL1_00817,798, , ,hypothetical protein,,,no KO assigned 
RHAL1_00818,993, , ,hypothetical protein,,,no KO assigned 
RHAL1_00819,714, , ,dTDP-4-dehydrorhamnose reductase,,,K00059 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] 
RHAL1_00820,1092, , ,3-dehydroquinate synthase,,,K01735 3-dehydroquinate synthase [EC:4.2.3.4] 
RHAL1_00821,1785, , ,Thiamine pyrophosphate central domain-containing protein,,,K01652 acetolactate synthase I/II/III large subunit [EC:2.2.1.6] 
RHAL1_00822,1341,rfbH, ,Lipopolysaccharide biosynthesis protein RfbH,K12452,"CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]","K12452 CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1] "
RHAL1_00823,981, , ,Glycosyl transferase,,,no KO assigned 
RHAL1_00824,1221, , ,Asparagine synthase (Glutamine-hydrolyzing),K01953,asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4],K01953 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4] 
RHAL1_00825,705, , ,Asparagine synthase (Glutamine-hydrolyzing),,,K01953 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4] 
RHAL1_00826,804, , ,Methyltransferase,,,no KO assigned 
RHAL1_00827,732, , ,SAM-dependent methyltransferase,,,no KO assigned 
RHAL1_00828,1974, , ,membrane protein of unknown function,,,no KO assigned 
RHAL1_00829,77, , ,tRNA-Arg(cct),,,no KO assigned 
RHAL1_00830,2592, , ,hypothetical protein,,,no KO assigned 
RHAL1_00831,207, , ,protein of unknown function,,,no KO assigned 
RHAL1_00832,582, , ,TetR/AcrR family transcriptional regulator,K16137,"TetR/AcrR family transcriptional regulator, transcriptional repressor for nem","K16137 TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon "
RHAL1_00833,1410, , ,Glutamyl-tRNA(Gln) amidotransferase subunit A,K01426,amidase [EC:3.5.1.4],K02433 aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7] 
RHAL1_00834,465, , ,Glyoxalase/bleomycin resistance/dioxygenase family protein,,,no KO assigned 
RHAL1_00835,252, , ,hypothetical protein,,,no KO assigned 
RHAL1_00836,1368, , ,Bacteriochlorophyll synthase 44.5 kDa chain,K08226,"MFS transporter, BCD family, chlorophyll transporter","K08226 MFS transporter, BCD family, chlorophyll transporter "
RHAL1_00837,1422, , ,Transcriptional regulator protein PpsR,,,no KO assigned 
RHAL1_00838,891, , ,"putative regulator with a cobalamin (Vitamin B12)-binding domain, AerR-like",,,no KO assigned 
RHAL1_00839,558,bchF,4.2.1.-,2-vinyl bacteriochlorophyllide hydratase,K11336,3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.165],K11336 3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.165] 
RHAL1_00840,1293,bchN,1.3.7.7,Light-independent protochlorophyllide reductase subunit N,K04038,light-independent protochlorophyllide reductase subunit N [EC:1.3.7.7],K04038 light-independent protochlorophyllide reductase subunit N [EC:1.3.7.7] 
RHAL1_00841,1641,bchB,1.3.7.7,Light-independent protochlorophyllide reductase subunit B,K04039,light-independent protochlorophyllide reductase subunit B [EC:1.3.7.7],K04039 light-independent protochlorophyllide reductase subunit B [EC:1.3.7.7] 
RHAL1_00842,915,bchL,1.3.7.7,Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein,K04037,light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7],K04037 light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7] 
RHAL1_00843,708,bchM,2.1.1.11,Magnesium-protoporphyrin O-methyltransferase,K03428,magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11],K03428 magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11] 
RHAL1_00844,1443, , ,hypothetical protein,K08226,"MFS transporter, BCD family, chlorophyll transporter","K08226 MFS transporter, BCD family, chlorophyll transporter "
RHAL1_00845,768,puhA, ,Reaction center protein H chain,K13991,photosynthetic reaction center H subunit,K13991 photosynthetic reaction center H subunit 
RHAL1_00846,663, , ,Photosynthetic complex assembly protein,,,no KO assigned 
RHAL1_00847,456, , ,Phosphonate-binding protein,,,no KO assigned 
RHAL1_00848,327, , ,Type IV secretion system protein VirB4,,,no KO assigned 
RHAL1_00849,1098,acsF,1.14.13.81,Aerobic magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase,K04035,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.,K04035 magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81] 
RHAL1_00850,924, , ,putative 30.4 kDa protein in puhA 5'region,,,no KO assigned 
RHAL1_00851,792,ubaA,2.7.7.-,SAMP-activating enzyme E1,,,K21029 molybdopterin-synthase adenylyltransferase [EC:2.7.7.80] 
RHAL1_00852,669, , ,"Membrane-associated enzyme, PAP2 (Acid phosphatase) superfamily",K12978,lipid A 4'-phosphatase [EC:3.1.3.-],K12978 lipid A 4'-phosphatase [EC:3.1.3.-] 
RHAL1_00853,2628, , ,hypothetical protein,,,no KO assigned 
RHAL1_00854,1686, , ,Tannase and feruloyl esterase,,,no KO assigned 
RHAL1_00855,1617, , ,Amino acid permease,,,no KO assigned 
RHAL1_00856,969, , ,hypothetical protein,,,no KO assigned 
RHAL1_00857,897,bamD, ,Outer membrane protein assembly factor BamD,K05807,outer membrane protein assembly factor BamD,K05807 outer membrane protein assembly factor BamD 
RHAL1_00858,1740,ftsZ, ,Cell division protein FtsZ 1,K03531,cell division protein FtsZ,K03531 cell division protein FtsZ 
RHAL1_00859,1311,ftsA, ,Cell division protein FtsA,K03590,cell division protein FtsA,K03590 cell division protein FtsA 
RHAL1_00860,993,ftsQ, ,Cell division protein FtsQ,K03589,cell division protein FtsQ,K03589 cell division protein FtsQ 
RHAL1_00861,933,ddlB,6.3.2.4,D-alanine:D-alanine ligase,K01921,D-alanine-D-alanine ligase [EC:6.3.2.4],K01921 D-alanine-D-alanine ligase [EC:6.3.2.4] 
RHAL1_00862,879,murB,1.3.1.98,UDP-N-acetylenolpyruvoylglucosamine reductase,K00075,UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],K00075 UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98] 
RHAL1_00863,97, , ,tRNA-Val(cac),,,no KO assigned 
RHAL1_00864,1101,murG,2.4.1.227,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentape ptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,K02563,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undeca,K02563 UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylg
RHAL1_00865,1194,ftsW,2.4.1.129,putative peptidoglycan glycosyltransferase FtsW,,,K03588 cell division protein FtsW 
RHAL1_00866,1395,murD,6.3.2.9,UDP-N-acetylmuramoylalanine--D-glutamate ligase,K01925,UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9],K01925 UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9] 
RHAL1_00867,1083,mraY,2.7.8.13,phospho-N-acetylmuramoyl-pentapeptide transferase,K01000,phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13],K01000 phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13] 
RHAL1_00868,1443,murF,6.3.2.10,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alani ne ligase,K01929,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10],K01929 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10] 
RHAL1_00869,1359,murE,6.3.2.13,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-di aminopimelate ligase",K01928,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3","K01928 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13] "
RHAL1_00870,1857, , ,Cell division protein FtsI (Penicillin-binding protein 3),K03587,cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4],K03587 cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4] 
RHAL1_00871,399, , ,hypothetical protein,,,no KO assigned 
RHAL1_00872,1080,mraW,2.1.1.-,S-adenosyl-dependent methyltransferase activity on membrane-located substrates,K03438,16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199],K03438 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199] 
RHAL1_00873,501,mraZ, ,Transcriptional regulator MraZ,K03925,MraZ protein,K03925 transcriptional regulator MraZ 
RHAL1_00874,942, , ,hypothetical protein,,,K05521 ADP-ribosyl-[dinitrogen reductase] hydrolase [EC:3.2.2.24] 
RHAL1_00875,258, , ,Prevent-host-death family protein,,,no KO assigned 
RHAL1_00876,1218, , ,Iron complex transport system substrate-binding protein (modular protein),K02016|K07062 ,iron complex transport system substrate-binding protein|toxin FitB [EC:3.1.-.-] ,K02016 iron complex transport system substrate-binding protein 
RHAL1_00877,747, , ,hypothetical protein,K07226,heme iron utilization protein,K07226 heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58] 
RHAL1_00878,900, , ,Extensin family protein (modular protein),,,no KO assigned 
RHAL1_00879,429,ibpA_1, ,heat shock chaperone,,,no KO assigned 
RHAL1_00880,282, , ,hypothetical protein,,,no KO assigned 
RHAL1_00881,234,rpmE, ,50S ribosomal protein L31,K02909,large subunit ribosomal protein L31,K02909 large subunit ribosomal protein L31 
RHAL1_00882,249, , ,putative Pentapeptide MXKDX repeat protein,,,no KO assigned 
RHAL1_00883,2193, , ,Penicillin-binding protein,K05366,penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4],K05366 penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4] 
RHAL1_00884,384, , ,hypothetical protein,,,no KO assigned 
RHAL1_00885,819, , ,hypothetical protein,,,no KO assigned 
RHAL1_00886,255, , ,protein of unknown function,,,no KO assigned 
RHAL1_00887,801, , ,hypothetical protein,K07313,serine/threonine protein phosphatase 1 [EC:3.1.3.16],no KO assigned 
RHAL1_00888,1119,dnaN, ,Beta sliding clamp,K02338,DNA polymerase III subunit beta [EC:2.7.7.7],K02338 DNA polymerase III subunit beta [EC:2.7.7.7] 
RHAL1_00889,600, , ,Resolvase,,,K14060 putative DNA-invertase from lambdoid prophage Rac 
RHAL1_00890,762, , ,CDP-diacylglycerol pyrophosphatase,K01521,CDP-diacylglycerol pyrophosphatase [EC:3.6.1.26],K01521 CDP-diacylglycerol pyrophosphatase [EC:3.6.1.26] 
RHAL1_00891,177, , ,hypothetical protein,,,no KO assigned 
RHAL1_00892,1386,yebQ, ,putative transporter; MFS superfamily protein,K08169,"MFS transporter, DHA2 family, multidrug resistance protein","K08169 MFS transporter, DHA2 family, multidrug resistance protein "
RHAL1_00893,2688,alaS,6.1.1.7,alanyl-tRNA synthetase,K01872,alanyl-tRNA synthetase [EC:6.1.1.7],K01872 alanyl-tRNA synthetase [EC:6.1.1.7] 
RHAL1_00894,1500, , ,protein of unknown function,,,no KO assigned 
RHAL1_00895,195, , ,protein of unknown function,,,no KO assigned 
RHAL1_00896,687, , ,hypothetical protein,,,no KO assigned 
RHAL1_00897,1044, , ,Regulator of protease activity HflC (Stomatin/prohibitin superfamily),,,no KO assigned 
RHAL1_00898,282, , ,Fis family transcriptional regulator,,,no KO assigned 
RHAL1_00899,669,rlmE,2.1.1.166,Ribosomal RNA large subunit methyltransferase E,K02427,23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166],K02427 23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166] 
RHAL1_00900,1158, , ,Ppx/GppA phosphatase,K01524,"exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase","K01524 exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3."
RHAL1_00901,2352, , ,putative Caspase-like domain-containing protein,,,no KO assigned 
RHAL1_00902,663, , ,hypothetical protein,,,"K01834 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11] "
RHAL1_00903,639, , ,Uracil-DNA glycosylase,,,no KO assigned 
RHAL1_00904,222, , ,hypothetical protein,,,no KO assigned 
RHAL1_00905,216, , ,hypothetical protein,,,no KO assigned 
RHAL1_00906,1623, , ,Glycosyl transferase family 1,K06158,"ATP-binding cassette, subfamily F, member 3",no KO assigned 
RHAL1_00907,273, , ,protein of unknown function,,,no KO assigned 
RHAL1_00908,1521, , ,Two-component sensor histidine kinase,K05962,"protein-histidine pros-kinase [EC:2.7.13.1]|two-component system, cell cycle sensor histidine kinase PleC [EC:2.7.13.3] ","K07716 two-component system, cell cycle sensor histidine kinase PleC [EC:2.7.13.3] "
RHAL1_00909,744,phoB, ,DNA-binding response regulator in two-component regulatory system with PhoR (or CreC),K02483|K07657 ,"two-component system, OmpR family, response regulator|two-component system, OmpR family, phosphate regulon response regulator PhoB ","K07657 two-component system, OmpR family, phosphate regulon response regulator PhoB "
RHAL1_00910,708,phoU, ,Phosphate-specific transport system accessory protein PhoU ,K02039,phosphate transport system protein,K02039 phosphate transport system protein 
RHAL1_00911,816,pstB,7.3.2.1,phosphate transporter subunit ; ATP-binding component of ABC superfamily protein,K02036,phosphate transport system ATP-binding protein [EC:7.3.2.1],K02036 phosphate transport system ATP-binding protein [EC:7.3.2.1] 
RHAL1_00912,840,pstA, ,phosphate transporter subunit ; membrane component of ABC superfamily protein,K02038,phosphate transport system permease protein,K02038 phosphate transport system permease protein 
RHAL1_00913,990,pstC, ,phosphate transporter subunit ; membrane component of ABC superfamily protein,K02037,phosphate transport system permease protein,K02037 phosphate transport system permease protein 
RHAL1_00914,1047,pstS, ,phosphate transporter subunit ; periplasmic-binding component of ABC superfamily protein,K02040,phosphate transport system substrate-binding protein,K02040 phosphate transport system substrate-binding protein 
RHAL1_00915,1407, , ,FAD/FMN-containing dehydrogenase,,,no KO assigned 
RHAL1_00916,1263,serA,1.1.1.95,D-3-phosphoglycerate dehydrogenase,K00058,D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.,K00058 D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399] 
RHAL1_00917,396, , ,ABC transporter ATP-binding protein (fragment),,,K01995 branched-chain amino acid transport system ATP-binding protein 
RHAL1_00918,897, , ,"putative branched-chain amino acid permease protein (ABC superfamily, membrane)",K01997,branched-chain amino acid transport system permease protein,K01997 branched-chain amino acid transport system permease protein 
RHAL1_00919,1056,livM_1, ,Branched-chain amino acid transport system permease protein,K01998,branched-chain amino acid transport system permease protein,K01998 branched-chain amino acid transport system permease protein 
RHAL1_00920,1356, , ,hypothetical protein,,,K01999 branched-chain amino acid transport system substrate-binding protein 
RHAL1_00921,813,livF_1, ,leucine/isoleucine/valine transporter subunit ; ATP-binding component of ABC superfamily protein,K10822,nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2],K01996 branched-chain amino acid transport system ATP-binding protein 
RHAL1_00922,1512, , ,Porin,K07267,porin,K07267 porin 
RHAL1_00923,234, , ,hypothetical protein,,,no KO assigned 
RHAL1_00924,225, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_00925,882, , ,Metallophosphoesterase,K03651,"3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]",no KO assigned 
RHAL1_00926,312, , ,hypothetical protein,,,no KO assigned 
RHAL1_00927,492, , ,RNA polymerase subunit sigma,K03088,"RNA polymerase sigma-70 factor, ECF subfamily",no KO assigned 
RHAL1_00928,795, , ,Anti-sigma factor,,,no KO assigned 
RHAL1_00929,177, , ,protein of unknown function,,,no KO assigned 
RHAL1_00930,975, , ,hypothetical protein,,,no KO assigned 
RHAL1_00931,633, , ,TetR/AcrR family transcriptional regulator,,,no KO assigned 
RHAL1_00932,1185, , ,Major facilitator superfamily transporter,,,no KO assigned 
RHAL1_00933,810, , ,putative transcriptional regulatory protein,,,no KO assigned 
RHAL1_00934,390, , ,hypothetical protein,,,"K13631 AraC family transcriptional regulator, mar-sox-rob regulon activator "
RHAL1_00935,447, , ,hypothetical protein,,,no KO assigned 
RHAL1_00936,108, , ,protein of unknown function,,,no KO assigned 
RHAL1_00937,876, , ,Alpha/beta hydrolase,,,no KO assigned 
RHAL1_00938,669, , ,hypothetical protein,,,no KO assigned 
RHAL1_00939,531, , ,hypothetical protein,,,no KO assigned 
RHAL1_00940,744, , ,hypothetical protein,,,no KO assigned 
RHAL1_00941,324, , ,hypothetical protein,,,no KO assigned 
RHAL1_00942,975, , ,hypothetical protein,,,no KO assigned 
RHAL1_00943,1002, , ,protein of unknown function,,,no KO assigned 
RHAL1_00944,1086, , ,hypothetical protein,,,no KO assigned 
RHAL1_00945,2514, , ,Type VI secretion system secreted protein VgrG,K11904,type VI secretion system secreted protein VgrG,K11904 type VI secretion system secreted protein VgrG 
RHAL1_00946,195, , ,protein of unknown function,,,no KO assigned 
RHAL1_00947,729, , ,protein of unknown function,,,no KO assigned 
RHAL1_00948,267, , ,protein of unknown function,,,no KO assigned 
RHAL1_00949,2280, , ,hypothetical protein,K11904,type VI secretion system secreted protein VgrG,K11904 type VI secretion system secreted protein VgrG 
RHAL1_00950,1119, , ,Two-component sensor histidine kinase,K05962|K07636 ,"protein-histidine pros-kinase [EC:2.7.13.1]|two-component system, OmpR family, phosphate regulon sensor histidine kinase ","K07636 two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13."
